experiment_id,dataset,build_profile,topology,ef_search,k,sample_count,mean_recall,perfect_recall_fraction,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms,shard_search_mean_ms,merge_mean_ms
hnswlib-sharding-10m-v1,sift10m,baseline,2x5m,400,10,50000,0.99802000,0.98220000,1.701578,1.759749,2.092491,2.180434,0.299437,1.689978,0.011600
hnswlib-sharding-10m-v1,sift10m,baseline,2x5m,400,100,50000,0.99060500,0.65060000,1.736668,1.794180,2.129768,2.220547,0.301234,1.710246,0.026422
hnswlib-sharding-10m-v1,sift10m,baseline,2x5m,800,10,50000,0.99946000,0.99470000,3.195864,3.300816,3.974880,4.148612,0.589326,3.183661,0.012204
hnswlib-sharding-10m-v1,sift10m,baseline,2x5m,800,100,50000,0.99755900,0.85930000,3.231717,3.337987,4.009866,4.190632,0.590546,3.204490,0.027227
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,100,10,50000,0.98931000,0.91400000,1.185322,1.218932,1.426964,1.491957,0.183762,1.171258,0.014063
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,100,100,50000,0.96381200,0.33850000,1.250544,1.285074,1.496757,1.562302,0.186007,1.196119,0.054425
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,200,10,50000,0.99734000,0.97690000,2.141578,2.209216,2.623344,2.728352,0.365650,2.126510,0.015068
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,200,100,50000,0.98901800,0.61200000,2.219586,2.287997,2.703910,2.810247,0.368055,2.164288,0.055297
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,400,10,50000,0.99935000,0.99400000,3.965048,4.093961,4.925803,5.137951,0.725647,3.949321,0.015728
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,400,100,50000,0.99728000,0.84450000,4.046840,4.173565,5.013435,5.231715,0.727952,3.990649,0.056191
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,800,10,50000,0.99983000,0.99830000,7.397714,7.636334,9.268759,9.715148,1.402149,7.375098,0.022616
hnswlib-sharding-10m-v1,sift10m,baseline,5x2m,800,100,50000,0.99936800,0.95140000,7.484756,7.726386,9.360698,9.814509,1.403697,7.420705,0.064051
